ID	X	Y	r	
0	40	50	0
1	25	85	0
2	22	75	139
3	22	85	180
4	20	80	0
5	20	85	136
6	18	75	458
7	15	75	344
8	15	80	456
9	10	35	529
10	10	40	236
11	8	40	105
12	8	45	548
13	5	35	0
14	5	45	333
15	2	40	419
16	0	40	46
17	0	45	463
18	44	5	311
19	42	10	0
20	42	15	0
21	40	5	436
22	40	15	248
23	38	5	22
24	38	15	275
25	35	5	0
26	95	30	33
27	95	35	530
28	92	30	367
29	90	35	134
30	88	30	0
31	88	35	222
32	87	30	0
33	85	25	191
34	85	35	587
35	67	85	88
36	65	85	335
37	65	82	0
38	62	80	406
39	60	80	0
40	60	85	0
41	58	75	525
42	55	80	484
43	55	85	92
44	55	82	0
45	20	82	439
46	18	80	0
47	2	45	408
48	42	5	514
49	42	12	79
50	72	35	374
51	55	20	0
52	25	30	0
53	20	50	153
54	55	60	0
55	30	60	220
56	50	35	297
57	30	25	29
58	15	10	289
59	10	20	240
60	15	60	0
61	45	65	495
62	65	35	0
63	65	20	247
64	45	30	0
65	35	40	0
66	41	37	0
67	64	42	218
68	40	60	75
69	31	52	268
70	35	69	357
71	65	55	415
72	63	65	237
73	2	60	107
74	20	20	380
75	5	5	190
76	60	12	275
77	23	3	131
78	8	56	112
79	6	68	300
80	47	47	0
81	49	58	496
82	27	43	613
83	37	31	0
84	57	29	249
85	63	23	447
86	21	24	527
87	12	24	180
88	24	58	0
89	67	5	57
90	37	47	495
91	49	42	189
92	53	43	423
93	61	52	176
94	57	48	210
95	56	37	0
96	55	54	76
97	4	18	278
98	26	52	483
99	26	35	265
100	31	67	465
