ID	X	Y	r	
0	35	35	0
1	41	49	0
2	35	17	138
3	55	45	178
4	55	20	0
5	15	30	134
6	25	30	452
7	20	50	339
8	10	43	451
9	55	60	522
10	30	60	233
11	20	65	103
12	50	35	541
13	30	25	38
14	15	10	0
15	30	5	414
16	10	20	0
17	5	30	458
18	20	40	307
19	15	60	162
20	45	65	378
21	45	20	431
22	45	10	245
23	55	5	0
24	65	35	272
25	65	20	566
26	45	30	33
27	35	40	0
28	41	37	0
29	64	42	133
30	40	60	0
31	31	52	219
32	35	69	599
33	53	52	189
34	65	55	579
35	63	65	87
36	2	60	331
37	20	20	571
38	5	5	401
39	60	12	502
40	40	25	0
41	42	7	0
42	24	12	478
43	23	3	91
44	11	14	431
45	6	38	433
46	2	48	107
47	8	56	403
48	13	52	507
49	6	68	78
50	47	47	369
51	49	58	549
52	27	43	463
53	37	31	0
54	57	29	109
55	63	23	217
56	53	12	293
57	32	12	29
58	36	26	0
59	21	24	237
60	17	34	563
61	12	24	0
62	24	58	261
63	27	69	244
64	15	77	0
65	62	77	443
66	49	73	153
67	67	5	215
68	56	39	0
69	37	47	265
70	37	56	353
71	57	68	0
72	47	16	0
73	44	17	106
74	46	13	375
75	49	11	0
76	49	42	271
77	53	43	129
78	61	52	0
79	57	48	296
80	56	37	0
81	55	54	0
82	15	47	0
83	14	37	304
84	11	31	246
85	16	22	441
86	4	18	521
87	28	18	178
88	26	52	0
89	26	35	57
90	31	67	0
91	15	19	187
92	22	22	417
93	18	24	0
94	26	27	207
95	25	24	579
96	22	27	75
97	25	21	275
98	19	21	477
99	20	26	261
100	18	18	459
