ID	X	Y	r	
0	40	50	0
1	52	75	0
2	45	70	119
3	62	69	154
4	60	66	150
5	42	65	116
6	16	42	390
7	58	70	293
8	34	60	389
9	28	70	451
10	35	66	201
11	35	69	89
12	25	85	467
13	22	75	33
14	22	85	284
15	20	80	0
16	20	85	39
17	18	75	395
18	15	75	265
19	15	80	140
20	30	50	326
21	30	56	372
22	28	52	0
23	14	66	19
24	25	50	235
25	22	66	488
26	8	62	28
27	23	52	451
28	4	55	313
29	20	50	114
30	20	55	0
31	10	35	0
32	10	40	0
33	8	40	0
34	8	45	500
35	5	35	75
36	5	45	286
37	2	40	0
38	0	40	346
39	0	45	0
40	36	18	463
41	35	32	448
42	33	32	412
43	33	35	0
44	32	20	372
45	30	30	374
46	34	25	92
47	30	35	347
48	36	40	438
49	48	20	67
50	26	32	0
51	25	30	474
52	25	35	0
53	44	5	130
54	42	10	94
55	42	15	0
56	40	5	253
57	38	15	25
58	38	5	246
59	38	10	205
60	35	5	486
61	50	30	422
62	50	35	225
63	50	40	210
64	48	30	0
65	44	25	0
66	47	35	132
67	47	40	185
68	42	30	64
69	45	35	229
70	95	30	0
71	95	35	354
72	53	30	202
73	92	30	91
74	53	35	0
75	45	65	162
76	90	35	0
77	72	45	111
78	78	40	0
79	87	30	255
80	85	25	0
81	85	35	423
82	75	55	523
83	72	55	262
84	70	58	0
85	86	46	0
86	66	55	449
87	64	46	153
88	65	60	493
89	56	64	49
90	60	55	422
91	60	60	0
92	67	85	360
93	42	58	150
94	65	82	0
95	62	80	500
96	62	40	0
97	60	85	237
98	58	75	412
99	55	80	226
100	55	85	397
